KEGG,Human Metabolome Database,InChIKey,Score
"C06419","No result","HNDVDQJCIGZPNO-RXMQYKEDSA-N","1"
"C00763","HMDB0003411","ONIBWKKTOPOVIA-SCSAIBSYSA-N","1"
"C02265","No result","COLNVLDHVKWLRT-MRVPVSSYSA-N","1"
"C06420","No result","OUYCCCASQSFEME-MRVPVSSYSA-N","1"
"C00525","HMDB0013609","QIVBCDIJIAJPQS-SECBINFHSA-N","1"
"C01879","HMDB0000267","ODHCTXKNWHHXJC-VKHMYHEASA-N","1"
"C01157","HMDB0000725
HMDB0036576","PMMYEEVYMWASQN-DMTCNVIQSA-N","1"
"C01420","No result","LEVWYRKDKASIDU-UHFFFAOYSA-N","1"
"C03145","No result","PYUSHNKNPOHWEZ-YFKPBYRVSA-N","1"
"C00189","HMDB0000149","HZAXFHJVJLSVMW-UHFFFAOYSA-N","1"
"C01678","HMDB0002991","UFULAYFCSOUIOV-UHFFFAOYSA-N","1"
"C03194","No result","HXKKHQJGJAFBHI-GSVOUGTGSA-N","1"
"C00099","HMDB0000056","UCMIRNVEIXFBKS-UHFFFAOYSA-N","1"
"C00334","HMDB0000112","BTCSSZJGUNDROE-UHFFFAOYSA-N","1"
"C00134","HMDB0001414","KIDHWZJUCRJVML-UHFFFAOYSA-N","1"
"C00388","HMDB0000870
HMDB0060263","NTYJJOPFIAHURM-UHFFFAOYSA-N","1"
